iter	Logloss
0	0.6885311759
1	0.6845345593
2	0.6796890835
3	0.6764065501
4	0.6724906833
5	0.6685104235
6	0.6646375921
7	0.6605929892
8	0.6557686262
9	0.6514805957
10	0.6474580469
11	0.6438505821
12	0.6405683203
13	0.6372550805
14	0.6341426831
15	0.6310766141
16	0.6277587144
17	0.6245146191
18	0.6212566024
19	0.6181513192
20	0.6151411967
21	0.6114455409
22	0.6088057483
23	0.6057012862
24	0.6022526335
25	0.5995966015
26	0.5966961406
27	0.5936039557
28	0.5898993084
29	0.5867780935
30	0.5840732641
31	0.5811917217
32	0.5789008559
33	0.5766790814
34	0.5736459474
35	0.5704009867
36	0.5676040441
37	0.564895384
38	0.5621875829
39	0.559450857
40	0.5569119424
41	0.5539272181
42	0.5511232608
43	0.5476496394
44	0.5449394717
45	0.5421887166
46	0.5396012148
47	0.5365066001
48	0.5345142101
49	0.5320707563
50	0.5298538005
51	0.5269882654
52	0.524925731
53	0.5226053546
54	0.5207787588
55	0.5185623629
56	0.5157621284
57	0.5136192513
58	0.5115079984
59	0.5098122982
60	0.5069046203
61	0.5043744321
62	0.5018735532
63	0.499429491
64	0.4975643296
65	0.4950990367
66	0.4938299988
67	0.4915621456
68	0.4894463954
69	0.486898744
70	0.4850417312
71	0.4826137433
72	0.4806581699
73	0.4783300467
74	0.4763675194
75	0.4741410923
76	0.4718087336
77	0.4696876941
78	0.4679906767
79	0.4659507447
80	0.4637323295
81	0.4617618684
82	0.4602299224
83	0.4579726178
84	0.4566245047
85	0.4550226604
86	0.4532499067
87	0.451864926
88	0.4500578276
89	0.4481252623
90	0.4463549332
91	0.444730833
92	0.4430926122
93	0.4414864008
94	0.4404348733
95	0.438720112
96	0.4371207276
97	0.4352766325
98	0.434021146
99	0.4329215475
100	0.4315695056
101	0.4301470476
102	0.4290113653
103	0.4270997976
104	0.4255620859
105	0.4243031197
106	0.4229538142
107	0.4216412986
108	0.4201715291
109	0.4186667862
110	0.4171174874
111	0.4151952404
112	0.4135772228
113	0.412251393
114	0.4109550686
115	0.4102804171
116	0.4089725214
117	0.4076150134
118	0.4061386181
119	0.4046005264
120	0.4029228952
121	0.4018634716
122	0.4004786578
123	0.398865049
124	0.3974249862
125	0.3962269281
126	0.3946800655
127	0.3936601312
128	0.3927704759
129	0.3916404675
130	0.3902916763
131	0.389093235
132	0.3879855968
133	0.3868117665
134	0.3856996368
135	0.3845038119
136	0.3835758674
137	0.3826287302
138	0.3815467881
139	0.3806830067
140	0.3793184009
141	0.3781847419
142	0.3769271595
143	0.3763333577
144	0.3757659377
145	0.3746638316
146	0.3734306275
147	0.3725804212
148	0.3714907776
149	0.3706313612
150	0.3698684069
151	0.3681867078
152	0.3670719415
153	0.3662492859
154	0.3655310189
155	0.3648902679
156	0.3639380489
157	0.3630187555
158	0.3619365372
159	0.3609085655
160	0.3598549653
161	0.3589205174
162	0.3581017199
163	0.3572627113
164	0.3563909965
165	0.3555149874
166	0.3544889881
167	0.3534954467
168	0.3525495412
169	0.3518814112
170	0.3515980827
171	0.3507410256
172	0.3499003401
173	0.3492492665
174	0.3484022866
175	0.3476883715
176	0.3470819973
177	0.346429966
178	0.3458509474
179	0.3451186406
180	0.3442770884
181	0.3433819557
182	0.3426819154
183	0.3418245344
184	0.340713784
185	0.3399019622
186	0.3387070798
187	0.3378131655
188	0.3372502011
189	0.3363775362
190	0.3357117997
191	0.3347382454
192	0.3337381528
193	0.333136633
194	0.3323500779
195	0.3315413629
196	0.3310396773
197	0.3304209327
198	0.329744678
199	0.3288962967
200	0.3280595501
201	0.3277066945
202	0.3270822212
203	0.3266300074
204	0.3256073801
205	0.3248713752
206	0.3243625908
207	0.3239356498
208	0.3234419353
209	0.322706604
210	0.3218770996
211	0.3214502286
212	0.3207998105
213	0.3198193365
214	0.3191199232
215	0.318515927
216	0.3180223626
217	0.3171497869
218	0.3164534244
219	0.3159463382
220	0.315229124
221	0.3146644429
222	0.3139809026
223	0.3130225623
224	0.3125005881
225	0.3121270143
226	0.3113073057
227	0.3108457937
228	0.3097591101
229	0.3090747959
230	0.3085074556
231	0.3080363188
232	0.3073339345
233	0.3067490503
234	0.3060304172
235	0.3051724464
236	0.3045421675
237	0.3041500101
238	0.3036249042
239	0.303088694
240	0.3024514266
241	0.3017576727
242	0.3013047991
243	0.3009258176
244	0.3006454972
245	0.3003564034
246	0.2996148058
247	0.2992099876
248	0.2986473243
249	0.2981790285
250	0.2975773497
251	0.297335136
252	0.2968606482
253	0.296332074
254	0.2958390616
255	0.295518392
256	0.2950467053
257	0.2943592336
258	0.2935506876
259	0.293018722
260	0.2922063615
261	0.2917362879
262	0.2913292009
263	0.2910095748
264	0.2906932471
265	0.2900482193
266	0.289338429
267	0.2889446433
268	0.2886434514
269	0.2881029267
270	0.2874562641
271	0.2869679252
272	0.286231299
273	0.2857750405
274	0.2854063439
275	0.2849128974
276	0.2846862646
277	0.2842937327
278	0.2837332615
279	0.2833800658
280	0.2831081446
281	0.2828333596
282	0.2822940876
283	0.2819367759
284	0.2812227966
285	0.2809418559
286	0.2802141063
287	0.2797556432
288	0.2791887411
289	0.278869607
290	0.2784372804
291	0.2782041001
292	0.2777874174
293	0.277450383
294	0.277278113
295	0.2767752716
296	0.2763805452
297	0.2756102493
298	0.2750819602
299	0.2747429773
300	0.2744369682
301	0.2742124378
302	0.2738697624
303	0.2735354248
304	0.2731724335
305	0.2728775621
306	0.2725539904
307	0.2720723521
308	0.2716879899
309	0.2713161367
310	0.2706970811
311	0.270419908
312	0.2701547302
313	0.2698356219
314	0.2694259195
315	0.26881111
316	0.2683089977
317	0.2680727764
318	0.2676796442
319	0.2674627402
320	0.2672101164
321	0.2668267851
322	0.2664438862
323	0.2659604239
324	0.2656435028
325	0.2654418659
326	0.2649763937
327	0.2646464656
328	0.2644719925
329	0.2641498048
330	0.2637255823
331	0.2633903804
332	0.2629456044
333	0.2627131649
334	0.2625144375
335	0.2623294498
336	0.2617835495
337	0.2611992582
338	0.2608803922
339	0.2603713979
340	0.260121301
341	0.2597844313
342	0.2593545431
343	0.2589561045
344	0.2583916639
345	0.2580435133
346	0.2577532473
347	0.2573039219
348	0.2568692292
349	0.2562810566
350	0.2559256766
351	0.2556161803
352	0.255395285
353	0.255190562
354	0.2548430695
355	0.2543666254
356	0.2540336975
357	0.2537493718
358	0.2533754408
359	0.2528530373
360	0.2525217257
361	0.2521046313
362	0.2519893683
363	0.251739322
364	0.2512395578
365	0.2509860613
366	0.2504862431
367	0.2501786436
368	0.2498263177
369	0.2496666784
370	0.2492471225
371	0.2489051877
372	0.2484883209
373	0.2480735467
374	0.2477902579
375	0.2476233598
376	0.247326617
377	0.2468801621
378	0.2464841087
379	0.246224489
380	0.2459066381
381	0.2455729167
382	0.245365722
383	0.2446476502
384	0.2442822689
385	0.2437667959
386	0.2435499317
387	0.243369071
388	0.2431649218
389	0.2427828978
390	0.2423749655
391	0.242049253
392	0.2417828292
393	0.2415868985
394	0.2412212574
395	0.2409010788
396	0.2405317778
397	0.240305418
398	0.2401499506
399	0.2399237708
400	0.2394688199
401	0.2393206594
402	0.2389773346
403	0.2386856772
404	0.2383191724
405	0.238014978
406	0.2378176478
407	0.2375839045
408	0.2373413323
409	0.2369893568
410	0.2367148881
411	0.2365612878
412	0.2362490893
413	0.2360103254
414	0.2358679658
415	0.2356088648
416	0.2352987052
417	0.2350254962
418	0.2348012703
419	0.2346236958
420	0.2344051629
421	0.2340038243
422	0.2337337373
423	0.2334552413
424	0.2332855448
425	0.2329818188
426	0.2325249786
427	0.2323544733
428	0.2320904614
429	0.2317552953
430	0.2312929302
431	0.2309844183
432	0.230620367
433	0.2304975311
434	0.2303771706
435	0.2299068342
436	0.2298232574
437	0.2295362369
438	0.2290674564
439	0.2287659292
440	0.2285262298
441	0.2281280489
442	0.2279349933
443	0.2277791362
444	0.2274385394
445	0.2271218152
446	0.2267221616
447	0.2264503873
448	0.2261523679
449	0.2260455905
450	0.2258069274
451	0.225636556
452	0.2254136398
453	0.2251731117
454	0.2250583996
455	0.2249493447
456	0.2245941276
457	0.2243766447
458	0.2242263778
459	0.2239486058
460	0.2237776731
461	0.2236264035
462	0.2233308393
463	0.2230069497
464	0.2226216735
465	0.2224220348
466	0.2222998852
467	0.2221175167
468	0.2217676694
469	0.2216454331
470	0.221570519
471	0.2211826696
472	0.2209683233
473	0.2208536816
474	0.2206709352
475	0.2205948716
476	0.2202102616
477	0.2198273396
478	0.2196739458
479	0.2193718042
480	0.2191528007
481	0.2187961488
482	0.2186454108
483	0.2183986222
484	0.2182140185
485	0.2179898922
486	0.217724332
487	0.2173955835
488	0.2171582571
489	0.2167687624
490	0.2166173923
491	0.2163743401
492	0.2160229538
493	0.2157545315
494	0.2153819699
495	0.2152308002
496	0.2149953317
497	0.2145561372
498	0.2144850126
499	0.2142860449
500	0.214022213
501	0.2138422896
502	0.2134971843
503	0.2134230897
504	0.2131818974
505	0.2129852574
506	0.2127519324
507	0.2125492283
508	0.2123147673
509	0.2120748622
510	0.2118803469
511	0.2115375721
512	0.2114035341
513	0.2110821202
514	0.2107789292
515	0.2105776751
516	0.2104586885
517	0.2101655307
518	0.2099710385
519	0.2096528913
520	0.2094788874
521	0.2090116515
522	0.2089335679
523	0.208755477
524	0.2083903981
525	0.2080861427
526	0.2078376256
527	0.2075634919
528	0.2074490162
529	0.2071301277
530	0.2069329784
531	0.2067030733
532	0.2064307537
533	0.2060688071
534	0.2058446493
535	0.2055101918
536	0.2052194203
537	0.2050161251
538	0.2048400738
539	0.2047089353
540	0.2044481435
541	0.2042273296
542	0.2040888501
543	0.2038377524
544	0.2036225393
545	0.2033953865
546	0.2031349278
547	0.2029983664
548	0.2026420189
549	0.2023526109
550	0.2020802895
551	0.2019026748
552	0.2015944525
553	0.2012662644
554	0.200838985
555	0.2006035505
556	0.2004783249
557	0.2004024049
558	0.2001348471
559	0.1999082349
560	0.1997342711
561	0.199471155
562	0.1993098236
563	0.1991927803
564	0.1989558188
565	0.198714046
566	0.1984750721
567	0.198379205
568	0.1981698044
569	0.1981047595
570	0.1979399439
571	0.1976487362
572	0.1973500428
573	0.1970286137
574	0.1969112833
575	0.1966450988
576	0.1963918681
577	0.1962576243
578	0.1960741357
579	0.1959705459
580	0.1958150737
581	0.1956221522
582	0.1954789525
583	0.1952574498
584	0.1951373797
585	0.1950720565
586	0.1947203616
587	0.194506645
588	0.1943972792
589	0.1941142468
590	0.1938834267
591	0.1938138004
592	0.1936170839
593	0.1934321491
594	0.1932442647
595	0.1931275165
596	0.1928811783
597	0.1927045215
598	0.1925810824
599	0.1923119624
600	0.1921610385
601	0.1918819635
602	0.1916165131
603	0.1913590566
604	0.1910870529
605	0.1907996305
606	0.1905962157
607	0.1904001898
608	0.1903538909
609	0.1901396414
610	0.189969659
611	0.1898422178
612	0.1897221519
613	0.1895460981
614	0.1893398138
615	0.1890710649
616	0.1887801806
617	0.1885483021
618	0.1884340249
619	0.1882413021
620	0.1880624051
621	0.1878314735
622	0.1875819396
623	0.1873950435
624	0.1871887626
625	0.1867496502
626	0.1865771506
627	0.1863212468
628	0.1861260371
629	0.1859331186
630	0.1857527709
631	0.1855524924
632	0.1853458022
633	0.1852203391
634	0.1849288199
635	0.184657098
636	0.1845050783
637	0.184207891
638	0.184020375
639	0.1839210277
640	0.1837195411
641	0.1833640798
642	0.1832047325
643	0.1831893312
644	0.1830102926
645	0.1828972692
646	0.1828583719
647	0.1827992519
648	0.1826984525
649	0.1826153074
650	0.1824526729
651	0.18223214
652	0.1820911608
653	0.1818013634
654	0.1816429838
655	0.1815504965
656	0.1815101464
657	0.1811960877
658	0.1810272627
659	0.1808620767
660	0.1806832774
661	0.1804912966
662	0.1802628173
663	0.1801033829
664	0.1799826879
665	0.1798675603
666	0.1797368302
667	0.1794844219
668	0.179366684
669	0.1792803635
670	0.1790786247
671	0.1789214574
672	0.1788544391
673	0.1787853668
674	0.1787105601
675	0.178536329
676	0.178415286
677	0.1783309355
678	0.1781478442
679	0.1779242223
680	0.1777653391
681	0.1776746025
682	0.1775476089
683	0.1774566618
684	0.1774273777
685	0.177127003
686	0.1770040111
687	0.1767000009
688	0.1765539814
689	0.1764374926
690	0.1760368672
691	0.1759241501
692	0.1756637665
693	0.1754586325
694	0.1752854468
695	0.1751859496
696	0.1749719592
697	0.1748428046
698	0.1746254118
699	0.1745275476
700	0.1742411272
701	0.174146606
702	0.1740055183
703	0.1737926651
704	0.1735544516
705	0.1735311509
706	0.1734511092
707	0.1733703242
708	0.1733186377
709	0.1731490198
710	0.172923516
711	0.1726928829
712	0.1724946207
713	0.1723789949
714	0.1722509658
715	0.1721012199
716	0.1720260577
717	0.1718612578
718	0.1716715542
719	0.1715090384
720	0.1713592528
721	0.1711934808
722	0.1710749281
723	0.1709538308
724	0.1706541812
725	0.1705537873
726	0.1702904126
727	0.1701054557
728	0.1699786204
729	0.16974739
730	0.169545187
731	0.1694182252
732	0.1692903755
733	0.1691580359
734	0.1690318916
735	0.1688479112
736	0.1686040952
737	0.1685057322
738	0.1683271771
739	0.1680737045
740	0.1679277922
741	0.1677351111
742	0.1675688157
743	0.1674271743
744	0.1672653361
745	0.1672229978
746	0.1671109755
747	0.1669496639
748	0.1667859242
749	0.1667118297
750	0.1665270574
751	0.1664269956
752	0.1662561396
753	0.1660504673
754	0.1658953271
755	0.1656509236
756	0.1655198545
757	0.1654207806
758	0.1651414075
759	0.1649776796
760	0.1648068114
761	0.1646639602
762	0.1645352809
763	0.164404203
764	0.1643202978
765	0.1641539115
766	0.1639947668
767	0.1638221906
768	0.163678527
769	0.1635917548
770	0.163463078
771	0.1632978918
772	0.1632147265
773	0.1630455013
774	0.1629117925
775	0.1628253051
776	0.1626955375
777	0.1625628858
778	0.1624754965
779	0.1622547991
780	0.1621479225
781	0.1619952214
782	0.1618654051
783	0.1616771501
784	0.1614698348
785	0.1612663412
786	0.1610108202
787	0.1607046521
788	0.1606821168
789	0.1604977399
790	0.1604153602
791	0.160228994
792	0.1600947339
793	0.1599791793
794	0.1598617172
795	0.1598058491
796	0.1594608414
797	0.1593455678
798	0.1592320346
799	0.1590629428
800	0.1587338173
801	0.1585526505
802	0.158349484
803	0.1581814427
804	0.1579221232
805	0.1577784917
806	0.1576752946
807	0.157443939
808	0.1571629483
809	0.1570408347
810	0.1569747783
811	0.1567997561
812	0.1566150184
813	0.1565617565
814	0.1564609555
815	0.1562078928
816	0.1559487521
817	0.1557695899
818	0.1557276606
819	0.1555756915
820	0.1554560249
821	0.155375275
822	0.1551533269
823	0.1549912311
824	0.1548474816
825	0.1546641608
826	0.1544932148
827	0.1544476584
828	0.1544069313
829	0.1542683643
830	0.1541052153
831	0.1539023919
832	0.1536692799
833	0.1535306026
834	0.1533824637
835	0.1530689038
836	0.153022483
837	0.1528595522
838	0.1527574744
839	0.1525810995
840	0.1523971779
841	0.1522108443
842	0.1521623789
843	0.1520678193
844	0.1519613976
845	0.1518791742
846	0.1517369317
847	0.1514544827
848	0.1512222978
849	0.1511087407
850	0.1508990004
851	0.1505996954
852	0.1505283232
853	0.1503943578
854	0.1502645088
855	0.1501269273
856	0.1498978918
857	0.1498529732
858	0.1497187225
859	0.1495580651
860	0.1493678059
861	0.1492968377
862	0.1490425161
863	0.1489246429
864	0.1487702755
865	0.1486561727
866	0.1485247793
867	0.1483785437
868	0.1482940513
869	0.1481184085
870	0.1480150562
871	0.1477963661
872	0.1476087725
873	0.1474693778
874	0.1474210072
875	0.1471923099
876	0.1470639661
877	0.1469808041
878	0.1467679048
879	0.1466139972
880	0.146488397
881	0.1463110846
882	0.1461889607
883	0.1460976269
884	0.1459615445
885	0.1458423799
886	0.145805889
887	0.1455751454
888	0.1454478256
889	0.1453223818
890	0.1451963251
891	0.145096481
892	0.1449817972
893	0.1448295435
894	0.1447444531
895	0.1446049473
896	0.1444697759
897	0.1444024753
898	0.1442797558
899	0.1441272889
900	0.144099817
901	0.1439743372
902	0.1438908597
903	0.1438365309
904	0.1436519613
905	0.143557607
906	0.1434290273
907	0.1432506022
908	0.1430944883
909	0.1430066072
910	0.1428761248
911	0.1426563842
912	0.1425804379
913	0.1424237876
914	0.1422784766
915	0.1419604732
916	0.1418776251
917	0.1417754755
918	0.1415994301
919	0.1414852721
920	0.1413833405
921	0.1411872422
922	0.1409311484
923	0.1408264764
924	0.1406243404
925	0.1404301975
926	0.1403106214
927	0.1402009579
928	0.1400181241
929	0.1399526023
930	0.1398167581
931	0.1397432981
932	0.13964652
933	0.1394113362
934	0.1391825871
935	0.1391362519
936	0.1389082367
937	0.1388732353
938	0.1387497925
939	0.1385526494
940	0.1385137925
941	0.1383770468
942	0.1381269382
943	0.1379963275
944	0.137892313
945	0.1377696663
946	0.1376397073
947	0.1375690357
948	0.1374188699
949	0.1372964382
950	0.1372329404
951	0.137173786
952	0.1370963992
953	0.1370036563
954	0.1368718679
955	0.1366998716
956	0.136639997
957	0.136468643
958	0.1363744629
959	0.1362150386
960	0.1360908878
961	0.1359544444
962	0.1358116282
963	0.1357485471
964	0.1355723951
965	0.1355094163
966	0.1353631006
967	0.1351491308
968	0.1350967849
969	0.1350026106
970	0.1348828156
971	0.1347535774
972	0.1346132136
973	0.1343482261
974	0.1342199475
975	0.1340131286
976	0.1338895739
977	0.1337730081
978	0.1336698619
979	0.1335473723
980	0.1333249955
981	0.1332044937
982	0.1331224206
983	0.1330665582
984	0.1330079676
985	0.1329352019
986	0.1328693582
987	0.1327462646
988	0.1325549677
989	0.1324331044
990	0.1323087007
991	0.1321141248
992	0.1320332615
993	0.1317556421
994	0.1316276205
995	0.131525578
996	0.1313926158
997	0.1312771383
998	0.1311622178
999	0.1309794837
